Title,Year,Rating,Genres,Streaming_Services,URL
Odavum Mudiyadhu Oliyavum Mudiyadhu,2024, 6.7,"Comedy, Horror",['Amazon Prime Video'],https://www.justwatch.com/in/movie/odavum-mudiyadhu-oliyavum-mudiyadhu
The Zone of Interest,2023, 7.9,"Drama, War & Military, History",[],https://www.justwatch.com/in/movie/the-zone-of-interest
Spider-Man: Across the Spider-Verse,2023, 8.6,"Science-Fiction, Animation, Action & Adventure, Comedy, Kids & Family, Fantasy","['Apple TV', 'Netflix', 'Zee5', 'Apple TV']",https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
Expend4bles,2023, 4.8,"Action & Adventure, Mystery & Thriller, War & Military",['Lionsgate Play'],https://www.justwatch.com/in/movie/the-expendables-4
Oldboy,2003, 8.3,"Mystery & Thriller, Action & Adventure, Drama",['Amazon Prime Video'],https://www.justwatch.com/in/movie/oldboy-2003
Ghoomer,2023, 7.8,"Drama, Sport",['Zee5'],https://www.justwatch.com/in/movie/ghoomer
Reacher,2022, 8.1,"Action & Adventure, Crime, Drama, Mystery & Thriller",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/jack-reacher
Berlin,2023, 7.0,"Crime, Drama, Action & Adventure, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/tv-show/berlin
Mirzapur,2018, 8.5,"Action & Adventure, Crime, Mystery & Thriller, Drama",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mirzapur
Game of Thrones,2011, 9.2,"Science-Fiction, Drama, Action & Adventure, Fantasy",['Jio Cinema'],https://www.justwatch.com/in/tv-show/game-of-thrones
True Detective,2014, 8.9,"Drama, Mystery & Thriller, Crime",['Jio Cinema'],https://www.justwatch.com/in/tv-show/true-detective
Indian Police Force,2024, 5.3,"Crime, Action & Adventure",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/indian-police-force
Solo Leveling,2024, 8.5,"Action & Adventure, Fantasy, Animation, Science-Fiction","['Crunchyroll', 'Crunchyroll']",https://www.justwatch.com/in/tv-show/solo-leveling-2024
